"","Title","Unit","Area","Price","Type","Decoration","Floor","Orientation","Add"
"41","值得一看首付150万给您一个温馨的小洋房",40441,"68","275","2室1厅1卫","精装修","中层（共17层）","东向","北街家园C区-沙河二手房出售-高教园北二街,近京藏高速"
"42","西环里精装两居室 中间楼层 业主诚心出售",37960,"60","230","2室1厅1卫","精装修","高层（共6层）","南北向","西环里-昌平县城二手房出售-西环路"
"43","地铁5号线 天通北苑三区 4室出售 户型方正 南北通透朝向",36477,"159","580","4室2厅2卫","精装修","高层（共6层）","南北向","天通苑北三区-天通苑二手房出售-太平庄中二街"
"44","地铁5号线 天通苑北一区3居室 出售 安静舒适",37425,"167","625","3室1厅1卫","精装修","低层（共12层）","南北向","天通苑北一区-天通苑二手房出售-太平庄中二街"
"45","西环里 低楼层 满五 看房随时",37960,"60","230","2室1厅1卫","简单装修","中层（共6层）","南北向","西环里-昌平县城二手房出售-西环路"
"46","新出珠江壹三期 K07户型 精装修花园500平 诚信房源",41316,"547","2260","5室3厅5卫","豪华装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"47","新出珠江壹三期 K07户型 精装修花园500平 诚信房源",41316,"547","2260","5室3厅5卫","豪华装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"48","海德堡联排，精装修，南花园，260平使用面积，800万急",44692,"179","800","4室2厅3卫","精装修","共4层","南向","海德堡花园-北七家二手房出售-七北路"
"49","海德堡联排，精装修，南花园，260平使用面积，800万急",44692,"179","800","4室2厅3卫","精装修","共4层","南向","海德堡花园-北七家二手房出售-七北路"
"50","东关北里温馨小两居婚房装修业主自住视野好采光好",43664,"58","255","2室1厅1卫","精装修","低层（共6层）","西向","东关北里-昌平县城二手房出售-东环路"
"51","低总价南北通透联排别墅适合三代人居住",48127,"143","690","3室2厅2卫","精装修","共2层","南北向","王府园中园-北七家二手房出售-北清路"
"52","2 1世纪好房源北街家园二区南北通透两室两厅 客厅带露台",46391,"97","450","2室2厅2卫","精装修","中层（共9层）","南北向","北街家园C区-沙河二手房出售-高教园北二街,近京藏高速"
"53","新上房源 望都新地 南北通透 一层不爬楼 出行方便 ",44263,"89","397","2室2厅1卫","精装修","低层（共6层）","南北向","望都新地北区-北七家二手房出售-立汤路60号"
"54","二期一段 业主家里添加人口 要换一套大房 300万装修",37542,"293","1100","4室2厅4卫","精装修","共3层","南向","香江别墅-小汤山二手房出售-镇百葛路366号"
"55","白各庄 宏福苑电梯三居两位 可平移户kou 业主急卖",21102,"127","268","3室2厅2卫","简单装修","中层（共13层）","南北向","白各庄新村-沙河镇二手房出售-定泗路66号"
"56","白各庄一期好户型 平南北通透大两居 带落地阳台 紧邻公园",21758,"91","198","2室1厅1卫","精装修","高层（共11层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"57","白各庄新村一层加地下室5656平米复试180业主诚心出",21250,"80","170","2室2厅2卫","简单装修","低层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"58","白各庄 羊各庄 正规两居室业主诚心出售看房方便",21052,"76","160","2室1厅1卫","精装修","中层（共18层）","南北向","白各庄新村-平谷镇二手房出售-定泗路66号"
"59","白各庄 南向 南向 两居两居 照片真实 简装出售",19220,"77","148","2室1厅1卫","简单装修","高层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"60","白各庄四期大两居 南北通透 中高楼层",19512,"82","160","2室1厅1卫","精装修","高层（共18层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"61","北七家别墅 科学城联排.南北通透.位置好无遮挡.送阁楼.花园",47058,"170","800","4室2厅3卫","精装修","共3层","南向","海德堡花园-北七家二手房出售-七北路"
"62","东环路 温馨两居室 婚房装修低总价视野好看房方便",41467,"62","260","2室1厅1卫","精装修","低层（共6层）","东南向","东环路小区-昌平县城二手房出售-东环路"
"63","橘郡房本面积500平 实用面积1200平米仅售3300万",64000,"500","3200","8室4厅9卫","豪华装修","共2层","南向","水印长滩-北七家二手房出售-立汤路"
"64","汤豪华装修联排诚心出售,有房本 户型好首层卧室朝南",29741,"232","690","4室2厅3卫","精装修","共3层","南向","汤HOUSE-小汤山二手房出售-顺沙路96号"
"65","立水桥区域 使用率超高半地下 民水民电带燃气 有钥匙140万",46875,"64","300","1室1厅1卫","毛坯","低层（共25层）","南向","立水桥北里-立水桥二手房出售-立汤路"
"66","145万两居室还带装修真的 房源价格真实，即买即住",18125,"80","145","2室2厅1卫","豪华装修","中层（共6层）","南向","小汤山双兴苑-小汤山二手房出售-顺沙路"
"67","145万没错买沙河地铁站旁精装2居室带家具，一梯两户",16111,"90","145","2室2厅1卫","豪华装修","中层（共6层）","南向","五福家园-沙河镇二手房出售-百沙路199号"
"68","健身养老医疗为一体的酒店式公寓精装修带家电15万一套起手慢无",27659,"47","130","1室1厅1卫","精装修","共5层","南向","昌平区医院宿...-昌平县城二手房出售-鼓楼西街"
"69","新出房源 联排别墅 房本165平 诚意出售 看房方便",36363,"165","600","4室2厅3卫","精装修","共3层","南北向","王府花园-北七家二手房出售-王府街10号"
"70","地铁站旁精装修两居（145万全款）即买即住南北通透 图片实景",31500,"60","189","2室2厅1卫","豪华装修","中层（共6层）","南向","京科苑-昌平县城二手房出售-昌盛路3号"
"71","宏星地产 珠江三期 毛坯 建筑面积800 售价2200万",40219,"547","2200","7室3厅6卫","毛坯","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"72","独栋 300平花园 一层带卧室 满五年 无",55299,"217","1200","4室2厅3卫","精装修","共2层","南北向","王府花园-北七家二手房出售-王府街10号"
"73","昌平精装公寓，依山傍水，远离雾霾，15万一套起，送家具家电",21621,"37","80","1室1厅1卫","精装修","高层（共6层）","南向","朱辛庄北区-沙河镇二手房出售-朱辛庄东路"
"74","匆匆那年我们错过很多，这套房子不能错过",43269,"208","900","4室2厅4卫","精装修","共2层","南北向","顺驰林溪-沙河镇二手房出售-顺沙路"
"75","昌平西关大产权廉租房，49平米全款67万，民水民电，不限 购",23928,"28","67","1室1厅1卫","精装修","中层（共6层）","南北向","昌平镇市政宿...-昌平县城二手房出售-昌平区南环路"
"76","新增碧肯山  精致双拼 C2户型 花园400平米 税6万",28767,"438","1260","4室2厅3卫","精装修","共3层","南北向","顺驰林溪-沙河镇二手房出售-顺沙路"
"77","小汤山精装修别墅200平200万，100平米小院",13333,"150","200","4室2厅2卫","精装修","共2层","南北向","南口别墅-南口二手房出售-亭北路"
"78","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"79","2 1世纪好房源北街家园七区 随时签合同 送储藏间送阳台",38724,"89","345","2室1厅1卫","简单装修","低层（共17层）","南北向","北街家园七区-沙河二手房出售-高教园北二街"
"80","西环里小区中间位置，装修好 看房方便",36291,"60","220","2室1厅1卫","精装修","高层（共6层）","南北向","西环里-昌平县城二手房出售-西环路"
"81","地铁5号线 天通北苑三区 4室出售 户型方正 南北通透朝向",36477,"159","580","4室2厅2卫","精装修","高层（共6层）","南北向","天通苑北三区-天通苑二手房出售-太平庄中二街"
"82","南厂住宅西区 3室1厅 200万 家具家电全送 ",26954,"74","200","3室1厅1卫","精装修","低层（共6层）","南北向","南厂住宅西区-南口二手房出售-西民路"
"83","宏 福 苑小区 全南两居室 电梯房 婚房装修  可平移北京户",21739,"92","200","2室1厅1卫","精装修","中层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"84","羊各庄宏福苑白各庄  南北通透两居室  精装修  可",19487,"78","152","2室1厅1卫","精装修","高层（共6层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"85","羊各庄新村旁白各庄新村精装修小三居出售，随时可看实房",22105,"95","210","3室1厅1卫","精装修","低层（共16层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"86","羊各庄宏福苑白各庄  南北通透两居室  精装修  可",19487,"78","152","2室1厅1卫","精装修","低层（共18层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"87","白各庄业主精装修两居室，户型方正带电梯，生活看房随时",20625,"80","165","2室1厅1卫","精装修","中层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"88","白各庄新村南向一居室电梯房好楼层 好",22631,"57","129","1室1厅1卫","精装修","低层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"89","名佳花园三区 客厅主卧朝南 精装   低于市场价",31457,"111","350","2室1厅2卫","简单装修","共5层","南北向","名佳花园(三...-北七家二手房出售-北清路"
"90","燕平家园朝南两居室高楼层视野好低总价低首付",39452,"62","245","2室1厅1卫","简单装修","低层（共6层）","南向","燕平家园-昌平县城二手房出售-东环路"
"91","白各庄对面 利成小区  117平三居两卫 毛坯187万有钥匙",15982,"117","187","3室1厅2卫","简单装修","中层（共18层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"92","边户联排 400平花园 一层老人房 集中供暖 满五年",53609,"205","1099","3室1厅2卫","简单装修","共2层","西向","王府园中园-北七家二手房出售-北清路"
"93","宏福苑南区 两居室出售 南北通透 临近温都水城 天通苑地铁站",19270,"96","185","2室1厅1卫","精装修","中层（共18层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"94","地 铁 房 燕城苑 中间楼层 南北通透 三居室 满五年唯壹",34779,"128","448","3室2厅2卫","简单装修","中层（共6层）","南北向","燕城苑北区-北七家二手房出售-太海路3号"
"95","珠江壹仟栋 三期在售K05户型 业主诚意出售2900万",48576,"597","2900","7室3厅7卫","精装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"96","西环里 ，朝南精装2房,户型正气,楼层好老少皆宜,价格可谈",38581,"54","210","2室1厅1卫","简单装修","共5层","南向","西环里-昌平县城二手房出售-西环路"
"97","地铁5号线 天通北苑三区 4室出售 户型方正 南北通透朝向",36477,"159","580","4室2厅2卫","精装修","高层（共6层）","南北向","天通苑北三区-天通苑二手房出售-太平庄中二街"
"98","白各庄  上下复试1+1共105平  业主换房诚意出售",18095,"105","190","2室2厅2卫","简单装修","低层（共18层）","南向","白各庄新村-沙河镇二手房出售-定泗路66号"
"99","昌平区 新街广街小区 出售两居室 74平米 220万",29729,"74","220","2室1厅1卫","精装修","中层（共6层）","南北向","新西广街小区-南口二手房出售-新西广街"
"100","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"101","昌平南口独栋别墅168万一套200平米,超大私家花园依山傍水",8400,"200","168","4室2厅3卫","精装修","共2层","南北向","盛世庄园-南口二手房出售-流村环岛北1000米"
"102","奥北别墅 园中园 650万联排别墅 共二层 户型好",45454,"143","650","3室2厅2卫","豪华装修","共2层","南向","王府园中园-北七家二手房出售-北清路"
"103","看一看，等一等，再挑一挑，好房就不是你的了",41315,"190","785","5室2厅3卫","精装修","共4层","南北向","海德堡花园-北七家二手房出售-七北路"
"104","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"105","东关北里小区小两居低楼层低总价前后无遮挡看房提前约",40727,"57","235","2室1厅1卫","简单装修","低层（共6层）","西北向","东关北里-昌平县城二手房出售-东环路"
"106","郝庄家园北区 南北三通透 三洋开泰 低楼层 大四居双卫",26322,"155","408","4室2厅2卫","精装修","低层（共6层）","南北向","郝庄家园北区-昌平县城二手房出售-南北庄路"
"107","白各庄豪华装修大三居，业主一天没住过，送家具家电，随时看房",22916,"96","220","3室1厅1卫","豪华装修","中层（共18层）","南向","白各庄新村-沙河二手房出售-定泗路66号"
"108","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"109","昌平南口独栋别墅168万一套200平米,超大私家花园青山绿水",11200,"150","168","4室3厅4卫","精装修","共2层","南北向","南口别墅-南口二手房出售-亭北路"
"110","宏福苑小区 电梯朝南 两室207万 可以平移户 口 着急出售",22747,"91","207","2室1厅1卫","简单装修","低层（共18层）","南向","白各庄新村-沙河二手房出售-定泗路66号"
"111","珠江壹仟栋 新出纯地上独栋，大花园500平，有钥匙看房随时",50810,"370","1880","5室3厅6卫","毛坯","共2层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"112","没水分 白各庄  2居室   业主换房诚意出售",21052,"95","200","3室2厅1卫","简单装修","高层（共18层）","南向","白各庄新村-沙河镇二手房出售-定泗路66号"
"113","业主换房腾资质 300万装修 150平花园 小区中间位置",37542,"293","1100","4室2厅4卫","精装修","共3层","南向","香江别墅-小汤山二手房出售-镇百葛路366号"
"114","诚心卖房 4卧朝阳 低市场价200万 有钥匙 自带400花园",36944,"360","1330","4室2厅4卫","毛坯","共3层","南向","香江别墅-小汤山二手房出售-镇百葛路366号"
"115","南厂住宅西区 2室1厅 165万 满五年 看房提前约",28896,"57","165","2室1厅1卫","简单装修","低层（共6层）","东南向","南厂住宅西区-南口二手房出售-西民路"
"116","南厂住宅西区视野好带阳台停车方便通透户型",28727,"55","158","2室1厅1卫","精装修","中层（共6层）","南北向","南厂住宅西区-南口二手房出售-西民路"
"117","典雅庄园南北2室290万实景实价 户型方正通透 看房随时",34939,"83","290","2室1厅2卫","简单装修","中层（共9层）","南北向","典雅庄园-小汤山二手房出售-顺沙路81号"
"118","南厂西区 2居 精装修  税费少",25910,"93","242","2室1厅2卫","简单装修","低层（共6层）","南北向","南厂住宅西区-南口二手房出售-西民路"
"119","白各庄 宏福苑经典落地窗大两居 通透 业主",19047,"105","200","2室1厅1卫","简单装修","中层（共6层）","南北向","白各庄新村-北七家二手房出售-定泗路66号"
"120","业主直售白各庄精装大三居室  南北通透  户型楼层好",21710,"152","330","3室2厅2卫","精装修","中层（共16层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"121","白各庄新村 对面利成小区 108平大两居 业主因",14351,"108","155","2室1厅1卫","简单装修","中层（共17层）","东西向","白各庄新村-沙河镇二手房出售-定泗路66号"
"122","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"123","一手未入住，高档社区，公园里的家，绿化率占小区65百分之",42833,"91","390","2室2厅1卫","毛坯","高层（共6层）","南北向","金科廊桥水岸-昌平县城二手房出售-南丰路"
"124","法国知名设计师空降亲自监督装修完成的独栋别墅 J对艺术享受",48526,"577","2800","5室3厅5卫","豪华装修","共3层","南北向","中海尚湖世家-沙河镇二手房出售-于新庄路"
"125","开发直售。带智能家电家具。带租金低投入高收入，在家轻松拿收益",34375,"16","55","1室1厅1卫","豪华装修","低层（共12层）","南北向","丽水园(南区...-天通苑二手房出售-立水桥北路"
"126","宏星地产珠江三期K04户型 样板间精装修  看房随时",43737,"503","2200","5室3厅5卫","精装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"127","业主已订房南向边户联排   加建至300平    南向边户",54304,"151","820","4室2厅1卫","豪华装修","低层（共6层）","南向","王府花园-北七家二手房出售-王府街10号"
"128","王 府花园 联排别墅  三卧朝南 看房联系我",39393,"165","650","4室3厅3卫","精装修","共2层","南北向","王府花园-北七家二手房出售-王府街10号"
"129","把边联排别墅 位置好 无 随时能看房",49668,"151","750","4室2厅3卫","精装修","共3层","东北向","王府花园-北七家二手房出售-王府街10号"
"130","开盘钜惠~15万套昌平景区精装公寓，国有土地证，家具家电齐",40000,"40","160","1室1厅1卫","豪华装修","中层（共6层）","南向","泰禾昌平拾景...-昌平县城二手房出售-南环南路,近内环西路"
"131","急售 宏福苑南区 业主诚心出售 115平 200万 出门便利",17391,"115","200","3室2厅1卫","简单装修","低层（共10层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"132","昌平区立水桥地铁1000米，电梯住宅楼，成熟社区，全款认购",23469,"98","230","2室2厅1卫","毛坯","高层（共7层）","南北向","中滩园-天通苑二手房出售-中东路"
"133","环境好，年返祖百分之10，投Z养老均可，全款12万，不限 购",24000,"10","24","1室1厅1卫","豪华装修","中层（共6层）","南北向","昌平镇市政宿...-昌平县城二手房出售-昌平区南环路"
"134","宜居宜投Z，开盘特价15万套，景区里的房子，集体房本有电梯",24000,"10","24","1室1厅1卫","豪华装修","中层（共6层）","南北向","昌平镇市政宿...-昌平县城二手房出售-昌平区南环路"
"135","醉 美 怀柔仿古四合院，88万套 紧邻青龙峡景区 依山傍水",10000,"200","200","3室1厅2卫","毛坯","共1层","南向","畅金园四合院-昌平县城二手房出售-崔河路"
"136","联排边户 四卧朝南 满两年 土地证 150平花园 着急卖",53061,"245","1300","5室2厅4卫","精装修","共3层","南北向","北京玫瑰园-沙河二手房出售-高教园中街"
"137","地铁口上的南北通透精装修林溪1150万元",31081,"370","1150","4室2厅3卫","精装修","共2层","南北向","顺驰林溪-沙河镇二手房出售-顺沙路"
"138","奢华独栋 法国经典设计师打造 售价2500万 简欧风格",44642,"560","2500","5室3厅4卫","豪华装修","共3层","南北向","中海尚湖世家-沙河二手房出售-于新庄路"
"139","大产权商 住，首付5成，66万，4.2米调高lo ft，不限",26285,"35","92","1室1厅1卫","精装修","中层（共12层）","南北向","西关北路小区-昌平县城二手房出售-西关北路"
"140","精装修联排别墅 南入户 南花园 自住 房子保养的很好 随时看",48000,"350","1680","5室3厅4卫","精装修","共3层","南北向","中海尚湖世家-沙河二手房出售-于新庄路"
"141","没有之一的好房 400平花园 四卧朝阳 业主整合资源 底价售",36944,"360","1330","4室2厅4卫","毛坯","共2层","南向","香江别墅-阳坊二手房出售-镇百葛路366号"
"142","换房 着急腾资质 低于市场价100万出售 带200平花园",55147,"272","1500","4室2厅4卫","精装修","共2层","南北向","北京玫瑰园-沙河二手房出售-高教园中街"
"143","玫瑰园新出双拼 正对中心公园 业主举家迁居 忍痛出售北京居所",55970,"268","1500","4室2厅3卫","精装修","共2层","南向","北京玫瑰园-沙河二手房出售-高教园中街"
"144","联排中户 南入户南花园 业主急用钱 低于市场价",42857,"350","1500","5室2厅5卫","毛坯","共4层","南向","中海尚湖世家-沙河二手房出售-于新庄路"
"145","看房非常方便 送200万装修 前后无遮挡 独门独户的叠拼",54545,"176","960","4室2厅4卫","精装修","共2层","南北向","中海尚湖世家-沙河二手房出售-于新庄路"
"146","新出珠江壹三期 K07户型 精装修花园500平 诚信房源",41316,"547","2260","5室3厅5卫","豪华装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"147","羊各庄新村 新装修 装修费用将近30万 南北通透 交通便利",21153,"78","165","2室1厅1卫","豪华装修","共5层","南北向","羊各庄新村-北七家二手房出售-定泗路"
"148","好房源  前后无遮挡 二期联排 带花园 随时看房",53061,"245","1300","5室2厅4卫","精装修","共3层","南北向","北京玫瑰园-沙河二手房出售-高教园中街"
"149","（于涛品质房） 未来科技城京承高速旁 一手别墅 1200万起",43300,"300","1299","5室4厅4卫","毛坯","共1层","南向","达华庄园-北七家二手房出售-定泗路238号"
"150","亢山广场，东关地铁，金五星，温馨三居，静谧小区环境",34571,"112","390","3室2厅1卫","精装修","高层（共6层）","南北向","亢山佳园-昌平县城二手房出售-府学路10号"
"151","地铁5号线 天通苑北一区3居室 出售 安静舒适",37425,"167","625","3室1厅1卫","精装修","低层（共12层）","南北向","天通苑北一区-天通苑二手房出售-太平庄中二街"
"152","小汤山典雅庄园 两居 精装修 一层带花园上下楼层出售",32000,"125","400","2室2厅2卫","精装修","低层（共9层）","南北向","典雅庄园-小汤山二手房出售-顺沙路81号"
"153","珠江壹仟栋，三期法式，精装时尚简约，四卧朝南，8米挑空",36563,"547","2000","5室3厅4卫","豪华装修","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"154","小孩上学换房 卖了这套 去市里买一套 价格能谈 看房方便",37037,"297","1100","4室2厅3卫","精装修","共3层","南向","香江别墅-阳坊二手房出售-镇百葛路366号"
"155","出售白各庄精装三居室 户型好   随时看房",20526,"95","195","3室1厅1卫","精装修","中层（共13层）","南向","白各庄新村-沙河二手房出售-定泗路66号"
"156","业主直售白各庄精装二居室  南北通透  户型楼层好",20000,"80","160","2室1厅1卫","精装修","中层（共19层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"157","地铁5号线 天通苑北一区3居室 出售 安静舒适",37425,"167","625","3室1厅1卫","精装修","低层（共12层）","南北向","天通苑北一区-天通苑二手房出售-太平庄中二街"
"158","南厂住宅西区 南北通透 2居室",31250,"54","170","2室1厅1卫","精装修","高层（共6层）","南北向","南厂住宅西区-南口二手房出售-西民路"
"159","业主诚心出售白各庄半地下精装一居室  位置好 随时看房",19122,"57","109","1室1厅1卫","精装修","低层（共18层）","南向","白各庄新村-沙河二手房出售-定泗路66号"
